NGC_0891|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_0891:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_0891:S:FIR:b2008.fits.gz']
IC_0356|[]
NGC_7331|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_7331:S:FIR:b2008.fits.gz']
NGC_2903|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_2903:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2905:S:B:hbc1980.fits.gz']
MESSIER_065|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3623:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1116.3+1322:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_3623:S:FIR:b2008.fits.gz']
NGC_4565|[]
NGC_2841|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2841:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2841:S:R:hbc1980.fits.gz']
NGC_6744|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_6744:S:FIR:b2008.fits.gz']
MESSIER_085|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0798:S:BVR:gzs2004.fits.gz']
NGC_2974|[]
MESSIER_086|[]
NGC_1023|[]
MESSIER_088|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1401:S:BVR:gzs2004.fits.gz']
MESSIER_084|['http://ned.ipac.caltech.edu/spc1/2009/2009A+A...495.1033B/3C_272.1:S:B:bcc2009.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2009/2009A+A...495.1033B/3C_272.1:S:RI:bcc2009.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4374:S:FIR:b2008.fits.gz']
MESSIER_105|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/NGC_3379:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3379:S:UBVR:k1992.fits.gz']
NGC_2683|[]
NGC_4725|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1248.0+2546:S:UBVR:f2000.fits.gz']
MESSIER_051b|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_5195:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5195:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5195:S:R:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_5195:S:FIR:b2008.fits.gz']
MESSIER_096|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3368:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/10/CGCG_1044.1+1205:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_3368:S:FIR:b2008.fits.gz']
NGC_1097|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_1097:S:FIR:b2008.fits.gz']
NGC_1399|[]
NGC_2403|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2403:S:B:hbc1980.fits.gz']
NGC_4697|[]
NGC_5005|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1308.6+3719:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_5005:S:FIR:b2008.fits.gz']
NGC_4526|[]
NGC_0055|[]
NGC_4216|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0167:S:BVR:gzs2004.fits.gz']
NGC_2997|[]
MESSIER_058|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1727:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_1727:S:FIR:b2008.fits.gz']
NGC_4631|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_4631:S:UBVR:k1992.fits.gz']
NGC_4636|[]
MESSIER_090|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1690:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4569:S:FIR:b2008.fits.gz']
NGC_2640|[]
NGC_4365|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0731:S:BVR:gzs2004.fits.gz']
NGC_2663|[]
MESSIER_100|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0596:S:BVR:gzs2004.fits.gz']
NGC_5907|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/15/CGCG_1514.6+5630:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5907:S:B:hbc1980.fits.gz']
NGC_4753|[]
NGC_1407|[]
MESSIER_089|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1632:S:BVR:gzs2004.fits.gz']
NGC_3384|[]
MESSIER_059|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1903:S:BVR:gzs2004.fits.gz']
NGC_1532|[]
NGC_4429|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1003:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_1003:S:FIR:b2008.fits.gz']
NGC_4976|[]
NGC_0185|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_0185:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_0185:S:FIR:b2008.fits.gz']
NGC_7217|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/22/CGCG_2205.6+3107:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_7217:S:FIR:b2008.fits.gz']
NGC_5746|[]
NGC_3675|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1123.4+4352:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3675:S:B:hbc1980.fits.gz']
NGC_5866|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_5866:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5866:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_5866:S:FIR:b2008.fits.gz']
NGC_6300|[]
NGC_4125|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4125:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4125:S:FIR:b2008.fits.gz']
NGC_5363|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1353.6+0530:S:UBVR:f2000.fits.gz']
MESSIER_061|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0508:S:BVR:gzs2004.fits.gz']
NGC_4414|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1224.0+3130:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4414:S:FIR:b2008.fits.gz']
NGC_2442|[]
MESSIER_098|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0092:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_0092:S:FIR:b2008.fits.gz']
NGC_4527|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1540:S:BVR:gzs2004.fits.gz']
NGC_1566|[]
NGC_0300|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_0300:S:FIR:b2008.fits.gz']
UGC_02855|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/UGC_02855:S:FIR:b2008.fits.gz']
MESSIER_099|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0307:S:BVR:gzs2004.fits.gz']
NGC_3607|[]
NGC_4274|[]
NGC_7213|[]
NGC_0488|[]
NGC_2146|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_2146:S:FIR:b2008.fits.gz']
MESSIER_109|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1155.0+5339:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3992:S:B:hbc1980.fits.gz']
NGC_2655|[]
NGC_2775|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_2775:S:UBVR:k1992.fits.gz']
NGC_4494|[]
MESSIER_108|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1108.5+5556:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3556:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_3556:S:FIR:b2008.fits.gz']
NGC_5033|[]
MESSIER_074|['http://ned.ipac.caltech.edu/spc1/2010/2010MNRAS.405..735R/NGC_0628:S:VIS:r2010.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_0628:S:FIR:b2008.fits.gz']
NGC_1617|[]
NGC_2768|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2768:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2768:S:R:hbc1980.fits.gz']
NGC_6221|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_6221:S:FIR:b2008.fits.gz']
NGC_0613|[]
NGC_5102|['http://ned.ipac.caltech.edu/spc1/2009/2009MNRAS.399..683J/65/6dFJ1321576-363748:S:VR:j2009.fits.gz']
NGC_3953|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3953:S:B:hbc1980.fits.gz']
NGC_4450|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1110:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_1110:S:FIR:b2008.fits.gz']
NGC_4459|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1154:S:BVR:gzs2004.fits.gz']
NGC_0524|[]
NGC_1672|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_1672:S:FIR:b2008.fits.gz']
NGC_3136|[]
NGC_6951|[]
NGC_1574|[]
NGC_7793|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_7793:S:FIR:b2008.fits.gz']
ARP_244|[]
NGC_4278|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4278:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4278:S:R:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4278:S:FIR:b2008.fits.gz']
NGC_6822|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_6822:S:FIR:b2008.fits.gz']
NGC_4473|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1231:S:BVR:gzs2004.fits.gz']
NGC_4696|[]
NGC_2787|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2787:S:B:hbc1980.fits.gz']
NGC_7049|[]
NGC_5322|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1347.6+6026:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5322:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_5322:S:FIR:b2008.fits.gz']
NGC_3079|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3079:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3079:S:R:hbc1980.fits.gz']
NGC_4477|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_1253:S:FIR:b2008.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1253:S:BVR:gzs2004.fits.gz']
MESSIER_091|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1615:S:BVR:gzs2004.fits.gz']
NGC_3169|[]
IC_2469|[]
NGC_6503|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_6503:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_6503:S:FIR:b2008.fits.gz']
NGC_4442|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1062:S:BVR:gzs2004.fits.gz']
NGC_5248|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_5248:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_5248:S:FIR:b2008.fits.gz']
NGC_4438|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1043:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_1043:S:FIR:b2008.fits.gz']
NGC_3941|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3941:S:UBVR:k1992.fits.gz']
NGC_4435|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1030:S:BVR:gzs2004.fits.gz']
NGC_4261|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0345:S:BVR:gzs2004.fits.gz']
NGC_7582|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_7582:S:FIR:b2008.fits.gz']
NGC_0772|[]
NGC_3489|[]
NGC_3998|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3998:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3998:S:R:hbc1980.fits.gz']
NGC_4157|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1208.6+5047:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4157:S:B:hbc1980.fits.gz']
NGC_4762|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_2095:S:BVR:gzs2004.fits.gz']
NGC_4643|['http://ned.ipac.caltech.edu/spc1/2003/20032dF...C...0000C/861/2dFGRS_N390Z102:S:OPT:c2003.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1240.8+0216:S:UBVR:f2000.fits.gz']
NGC_1161|[]
NGC_3077|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3077:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3077:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3077:S:R:hbc1980.fits.gz']
NGC_4517|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/CGCG_014-063:S:BVR:gzs2004.fits.gz']
NGC_4449|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_4449:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4449:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4449:S:R:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4449:S:FIR:b2008.fits.gz']
NGC_3147|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3147:S:UBVR:k1992.fits.gz']
NGC_2380|[]
NGC_4151|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1208.0+3941:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4151:S:FIR:b2008.fits.gz']
NGC_5566|[]
NGC_4203|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1212.5+3328:S:UBVR:f2000.fits.gz']
NGC_4490|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4490:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4490:S:FIR:b2008.fits.gz']
NGC_4665|[]
NGC_3620|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_3620:S:FIR:b2008.fits.gz']
NGC_4596|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_1813:S:FIR:b2008.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1813:S:BVR:gzs2004.fits.gz']
NGC_3640|[]
NGC_4856|[]
NGC_3190|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/10/CGCG_1015.4+2205:S:UBVR:f2000.fits.gz']
NGC_4088|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4088:S:B:hbc1980.fits.gz']
NGC_2985|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2985:S:B:hbc1980.fits.gz']
NGC_4754|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_2092:S:BVR:gzs2004.fits.gz']
NGC_5813|[]
IC_4296|[]
NGC_2681|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2681:S:B:hbc1980.fits.gz']
NGC_4535|[]
NGC_5090|[]
NGC_1469|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/03/CGCG_0355.5+6826:S:UBVR:f2000.fits.gz']
NGC_3377|[]
NGC_4111|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4111:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4111:S:R:hbc1980.fits.gz']
NGC_5838|[]
NGC_3184|['http://ned.ipac.caltech.edu/spc1/2010/2010MNRAS.405..735R/NGC_3184:S:VIS:r2010.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3184:S:B:hbc1980.fits.gz']
NGC_4036|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1158.9+6210:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4036:S:B:hbc1980.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4036:S:R:hbc1980.fits.gz']
NGC_1947|[]
NGC_4314|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1220.0+3010:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4314:S:FIR:b2008.fits.gz']
NGC_0404|[]
NGC_4026|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_4026:S:B:hbc1980.fits.gz']
NGC_5353|[]
NGC_4710|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/CGCG_100-011:S:BVR:gzs2004.fits.gz']
NGC_2293|[]
NGC_4698|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_2070:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1245.9+0845:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_2070:S:FIR:b2008.fits.gz']
NGC_0676|[]
NGC_3344|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/10/CGCG_1040.7+2510:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_3344:S:FIR:b2008.fits.gz']
NGC_3945|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/11/CGCG_1150.5+6056:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_3945:S:B:hbc1980.fits.gz']
NGC_4536|[]
NGC_7013|[]
NGC_4217|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1213.3+4721:S:UBVR:f2000.fits.gz']
NGC_5419|[]
NGC_1512|[]
IC_0334|[]
NGC_1527|[]
